name,calories,protein,carbs,fat,last_updated,source_url,serving_size
Greek Yoghurt Granola Jar,275,9.0,,6.0,2024-12-31 21:12:58,https://www.talabat.com/kuwait/restaurant/673492/bartone-surra?aid=42,
Chia Granola Jar,262,8.0,,10.0,2024-12-31 21:12:58,https://www.talabat.com/kuwait/restaurant/673492/bartone-surra?aid=42,
Acai Granola Jar,255,9.0,,6.0,2024-12-31 21:12:58,https://www.talabat.com/kuwait/restaurant/673492/bartone-surra?aid=42,
Biscoff Softies,208,N/A,19,8,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Air Bake Zinger Supreme,475,N/A,45,15,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
French Fries,259,N/A,11,259,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Twister Wrap,363,N/A,45,13,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Air Baked Chiken Nuggets,32,N/A,1.3,32.5,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Chicken Strips,300,35,20,9,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Caesar Wrap,349,N/A,40,13,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Barbeque Wrap,335,N/A,45,11,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Twister Wrap (Variant 1),363,N/A,45,13,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Alternative Wrap,343,N/A,45,11,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Falafel Wrap,353,N/A,49,13,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Legendary Bowl,316,N/A,45,4,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Sumac Chicken Fatteh,N/A,368,5,9.1,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Crispy Chicken Tikka Bowl,381,N/A,9.1,381,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
T Arabia,360,N/A,46,12.5,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Beef Arabia,424,N/A,16.5,424.5,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Shrimp Arabia,401,N/A,49,14.6,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Fire Fighter Supreme,398,N/A,47,14,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Santa Fe Chicken,369,N/A,15.6,369.3,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Fish Fillet Sandwich,386,N/A,50,10,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
